date,mri,liquidity,growth,credit,risk,usd_stress,regime,conviction,bottom_score,top_score,btc,eth
2026-06-09,48.1,37.7,52.4,54.5,56.1,58.5,TRANSITION,50,0.0,0.0,61644,1637.71
2026-06-10,46.0,38.8,50.9,50.8,53.0,63.8,TRANSITION,50,14.7,0.0,61449,1620.14
2026-06-11,50.3,40.6,50.2,56.3,65.7,56.4,TRANSITION,48,0.0,0.0,63561,1672.28
2026-06-12,50.4,40.6,50.4,56.3,65.8,56.5,TRANSITION,48,0.0,0.0,63543,1665.13
2026-06-13,49.1,40.6,50.4,49.2,65.8,56.0,TRANSITION,48,0.0,0.0,64421,1680.21
2026-06-14,54.2,40.6,50.4,62.6,71.2,45.0,TRANSITION,46,0.0,0.0,65710,1724.61
2026-06-15,57.8,39.9,50.1,69.4,82.1,39.2,CONSTRUCTIVE,41,0.0,0.0,66290,1794.96
2026-06-16,56.0,39.9,49.9,62.5,80.4,40.3,CONSTRUCTIVE,43,0.0,0.0,65601,1790.4
2026-06-17,56.7,40.2,51.4,76.9,70.9,47.8,CONSTRUCTIVE,43,0.0,0.0,65601,1790.4
2026-06-18,57.7,40.2,51.1,80.0,72.5,46.7,CONSTRUCTIVE,41,0.0,0.0,64418,1709.53
2026-06-19,56.0,40.2,51.1,73.0,71.6,47.5,CONSTRUCTIVE,44,0.0,0.0,63541,1710.98
2026-06-20,55.7,40.3,51.1,70.3,72.5,46.9,CONSTRUCTIVE,44,0.0,0.0,64240,1739.3
2026-06-21,54.4,39.2,51.0,66.0,71.7,47.2,TRANSITION,45,0.0,0.0,63238,1704.58
