date,pboc_t_usd
2008-01-31,2.372
2008-02-29,2.426
2008-03-31,2.484
2008-04-30,2.541
2008-05-31,2.601
2008-06-30,2.659
2008-07-31,2.72
2008-08-31,2.781
2008-09-30,2.842
2008-10-31,2.905
2008-11-30,2.966
2008-12-31,3.031
2009-01-31,3.057
2009-02-28,3.08
2009-03-31,3.107
2009-04-30,3.132
2009-05-31,3.158
2009-06-30,3.183
2009-07-31,3.209
2009-08-31,3.235
2009-09-30,3.261
2009-10-31,3.287
2009-11-30,3.312
2009-12-31,3.338
2010-01-31,3.386
2010-02-28,3.429
2010-03-31,3.476
2010-04-30,3.523
2010-05-31,3.571
2010-06-30,3.618
2010-07-31,3.667
2010-08-31,3.716
2010-09-30,3.764
2010-10-31,3.814
2010-11-30,3.862
2010-12-31,3.912
2011-01-31,3.957
2011-02-28,3.997
2011-03-31,4.043
2011-04-30,4.087
2011-05-31,4.133
2011-06-30,4.177
2011-07-31,4.224
2011-08-31,4.271
2011-09-30,4.317
2011-10-31,4.365
2011-11-30,4.412
2011-12-31,4.46
2012-01-31,4.483
2012-02-29,4.505
2012-03-31,4.528
2012-04-30,4.55
2012-05-31,4.574
2012-06-30,4.596
2012-07-31,4.62
2012-08-31,4.643
2012-09-30,4.665
2012-10-31,4.689
2012-11-30,4.712
2012-12-31,4.735
2013-01-31,4.777
2013-02-28,4.815
2013-03-31,4.857
2013-04-30,4.898
2013-05-31,4.94
2013-06-30,4.982
2013-07-31,5.025
2013-08-31,5.068
2013-09-30,5.11
2013-10-31,5.153
2013-11-30,5.196
2013-12-31,5.24
2014-01-31,5.257
2014-02-28,5.273
2014-03-31,5.291
2014-04-30,5.308
2014-05-31,5.325
2014-06-30,5.342
2014-07-31,5.359
2014-08-31,5.376
2014-09-30,5.393
2014-10-31,5.41
2014-11-30,5.426
2014-12-31,5.443
2015-01-31,5.395
2015-02-28,5.352
2015-03-31,5.304
2015-04-30,5.259
2015-05-31,5.212
2015-06-30,5.168
2015-07-31,5.122
2015-08-31,5.076
2015-09-30,5.032
2015-10-31,4.987
2015-11-30,4.944
2015-12-31,4.9
2016-01-31,4.904
2016-02-29,4.908
2016-03-31,4.913
2016-04-30,4.917
2016-05-31,4.921
2016-06-30,4.925
2016-07-31,4.93
2016-08-31,4.934
2016-09-30,4.938
2016-10-31,4.942
2016-11-30,4.946
2016-12-31,4.95
2017-01-31,5.0
2017-02-28,5.045
2017-03-31,5.097
2017-04-30,5.147
2017-05-31,5.199
2017-06-30,5.25
2017-07-31,5.303
2017-08-31,5.357
2017-09-30,5.41
2017-10-31,5.466
2017-11-30,5.52
2017-12-31,5.576
2018-01-31,5.561
2018-02-28,5.547
2018-03-31,5.533
2018-04-30,5.518
2018-05-31,5.504
2018-06-30,5.49
2018-07-31,5.476
2018-08-31,5.461
2018-09-30,5.448
2018-10-31,5.434
2018-11-30,5.421
2018-12-31,5.407
2019-01-31,5.4
2019-02-28,5.394
2019-03-31,5.388
2019-04-30,5.382
2019-05-31,5.375
2019-06-30,5.369
2019-07-31,5.362
2019-08-31,5.356
2019-09-30,5.35
2019-10-31,5.343
2019-11-30,5.337
2019-12-31,5.33
2020-01-31,5.379
2020-02-29,5.424
2020-03-31,5.474
2020-04-30,5.522
2020-05-31,5.572
2020-06-30,5.621
2020-07-31,5.673
2020-08-31,5.725
2020-09-30,5.776
2020-10-31,5.829
2020-11-30,5.881
2020-12-31,5.936
2021-01-31,5.96
2021-02-28,5.982
2021-03-31,6.006
2021-04-30,6.03
2021-05-31,6.054
2021-06-30,6.078
2021-07-31,6.103
2021-08-31,6.128
2021-09-30,6.152
2021-10-31,6.177
2021-11-30,6.201
2021-12-31,6.226
2022-01-31,6.205
2022-02-28,6.185
2022-03-31,6.164
2022-04-30,6.144
2022-05-31,6.124
2022-06-30,6.105
2022-07-31,6.085
2022-08-31,6.065
2022-09-30,6.047
2022-10-31,6.028
2022-11-30,6.01
2022-12-31,5.991
2023-01-31,6.03
2023-02-28,6.065
2023-03-31,6.103
2023-04-30,6.14
2023-05-31,6.178
2023-06-30,6.214
2023-07-31,6.252
2023-08-31,6.29
2023-09-30,6.326
2023-10-31,6.363
2023-11-30,6.399
2023-12-31,6.437
2024-01-31,6.424
2024-02-29,6.412
2024-03-31,6.399
2024-04-30,6.386
2024-05-31,6.374
2024-06-30,6.362
2024-07-31,6.349
2024-08-31,6.336
2024-09-30,6.324
2024-10-31,6.312
2024-11-30,6.3
2024-12-31,6.288
2025-01-31,6.339
2025-02-28,6.386
2025-03-31,6.438
2025-04-30,6.488
2025-05-31,6.541
2025-06-30,6.592
2025-07-31,6.642
2025-08-31,6.693
2025-09-30,6.742
2025-10-31,6.793
2025-11-30,6.842
2025-12-31,6.894
2026-01-31,7.013
2026-02-28,7.121
2026-03-31,7.01
2026-04-30,7.02
2026-05-31,7.03
2026-06-09,7.033
